id,gender,class,gpa,scale1,scale2
1,female,freshman,3.08,2,9
2,female,junior,2.89,2,2
3,female,junior,3.17,4,9
4,male,senior,2.1,3,2
5,female,junior,2.66,4,8
6,male,junior,3.01,2,1
7,female,junior,2.42,3,3
8,female,sophomore,2.45,1,7
9,female,senior,2.24,2,6
10,female,junior,2.33,1,4
11,male,senior,2.75,2,1
12,female,sophomore,3.02,1,9
13,male,freshman,2.21,3,5
14,male,sophomore,3.2,3,9
15,female,freshman,3.21,2,3
16,male,freshman,2.83,5,2
17,male,sophomore,2.62,1,2
18,female,junior,3.37,2,5
19,female,sophomore,2.22,4,8
20,male,senior,2.4,2,6
21,male,junior,3.01,3,6
22,female,freshman,2.31,3,6
23,male,senior,2.98,1,2
24,female,senior,3.45,4,2
25,male,freshman,2.23,1,9
26,female,junior,2.85,5,1
27,male,junior,2.14,1,4
28,male,sophomore,3.29,2,8
29,male,freshman,2.69,2,1
30,female,freshman,2.09,1,1
31,female,senior,2.65,2,8
32,female,sophomore,3.54,1,4
33,female,sophomore,2.48,2,1
34,male,freshman,2.26,2,4
35,female,junior,2.27,3,7
36,female,freshman,2.37,1,6
37,male,freshman,2.29,2,8
38,male,sophomore,2.49,3,5
39,male,sophomore,2.22,5,7
40,female,senior,2.91,2,5
41,female,sophomore,2.76,1,4
42,male,freshman,2.2,2,1
43,female,sophomore,3.24,1,9
44,female,junior,2.49,3,6
45,male,freshman,2.62,3,8
46,female,sophomore,2.64,4,1
47,female,junior,2.53,1,2
48,female,junior,2.57,2,5
49,male,senior,2.37,1,2
50,female,junior,2.43,4,6
51,male,sophomore,2.98,1,9
52,male,freshman,2.14,2,9
53,female,sophomore,3.33,5,8
54,male,junior,3.05,1,2
55,male,sophomore,3.3,2,1
56,male,freshman,3.29,3,5
57,female,sophomore,2.62,1,9
58,male,senior,3.15,1,3
59,male,sophomore,2.89,1,6
60,female,junior,3.08,1,5
61,male,junior,2.21,1,4
62,male,sophomore,2.57,3,1
63,male,sophomore,2.71,2,4
64,female,sophomore,2.78,4,1
65,female,sophomore,3.02,4,4
66,male,freshman,2.75,4,3
67,male,sophomore,2.83,4,9
68,female,junior,2.58,5,7
69,male,freshman,2.27,2,6
70,female,freshman,3.45,3,6
71,male,sophomore,3.64,2,9
72,female,junior,2.62,1,7
73,male,senior,2.84,2,3
74,female,junior,2.81,2,1
75,female,freshman,2.99,4,4
76,female,freshman,2.63,4,7
77,male,sophomore,2.95,2,3
78,male,sophomore,2.69,4,7
79,female,freshman,3.17,1,4
80,male,freshman,3.42,4,9
81,male,senior,2.93,2,5
82,male,senior,3.25,4,1
83,female,freshman,2.69,4,2
84,female,senior,3.05,3,8
85,female,sophomore,2.91,3,4
86,male,sophomore,2.73,1,6
87,male,junior,2.34,1,6
88,female,junior,2.87,4,2
89,male,junior,2.66,2,3
90,male,junior,2.7,2,2
91,male,sophomore,2.8,4,6
92,male,sophomore,3.09,1,5
93,female,freshman,3.19,3,5
94,male,freshman,1.98,2,4
95,male,freshman,3.3,1,1
96,male,sophomore,3.35,2,1
97,female,sophomore,2.63,2,2
98,male,junior,2.55,5,6
99,female,freshman,3.36,1,1
100,male,senior,3.02,1,9
101,female,freshman,2.66,1,3
102,female,freshman,2.58,5,7
103,female,freshman,2.85,4,2
104,male,senior,3.08,2,9
105,male,junior,2.93,1,4
106,female,freshman,2.97,1,5
107,female,sophomore,2.21,5,8
108,male,junior,3.06,3,3
109,female,sophomore,3.14,2,7
110,male,sophomore,3.49,3,4
111,male,junior,2.41,4,3
112,female,junior,3.19,2,6
113,female,sophomore,3.07,4,5
114,male,freshman,3.12,3,2
115,male,sophomore,2.69,1,7
116,female,freshman,2.78,3,6
117,male,freshman,2.79,4,7
118,female,junior,3.29,4,4
119,female,senior,2.76,3,6
120,male,freshman,2.42,4,4
121,male,senior,3.44,3,4
122,female,senior,2.93,1,4
123,male,sophomore,3.04,4,8
124,male,sophomore,2.18,4,9
125,female,senior,2.55,2,1
126,female,sophomore,2.48,3,8
127,male,senior,2.73,5,5
128,female,sophomore,1.98,1,4
129,female,senior,2.72,1,6
130,male,sophomore,2.7,2,6
131,male,senior,3.08,3,7
132,male,senior,2.85,4,4
133,female,junior,1.51,3,1
134,female,freshman,2.24,1,2
135,female,senior,3.09,3,2
136,female,freshman,2.93,3,7
137,male,sophomore,2.59,3,5
138,male,junior,2.68,4,9
139,female,junior,3.04,1,6
140,male,senior,2.39,5,2
141,male,freshman,2.94,4,4
142,female,sophomore,2.67,3,5
143,female,junior,3.24,2,3
144,male,senior,3.62,3,4
145,male,freshman,2.97,2,2
146,female,sophomore,2.04,5,8
147,female,freshman,2.77,2,7
148,female,junior,3.05,4,9
149,female,junior,2.65,3,3
150,male,junior,1.93,1,1
151,male,sophomore,2.49,3,9
152,female,sophomore,2.91,1,8
153,male,junior,3.08,4,1
154,male,freshman,2.1,1,5
155,male,junior,2.69,3,5
156,male,junior,2.58,1,8
157,male,freshman,2.53,1,2
158,male,sophomore,3.2,2,2
159,male,sophomore,2.66,5,1
160,male,senior,2.73,5,8
161,female,junior,2.55,3,3
162,female,freshman,2.57,5,5
163,male,sophomore,2.59,4,9
164,male,sophomore,2.51,3,4
165,male,freshman,2.64,4,5
166,male,senior,2.29,3,6
167,male,freshman,2.87,1,4
168,female,senior,2.79,2,7
169,female,freshman,2.89,5,3
170,male,sophomore,2.13,1,1
171,male,junior,2.81,5,3
172,male,freshman,2.87,2,1
173,male,senior,3.05,1,2
174,female,junior,2.15,4,6
